id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
147331,88318,5375,25,2016-01-23 23:29:14 UTC,2016-01-23 23:29:14 UTC,,
147421,88382,5375,38,2016-01-23 23:57:13 UTC,2016-01-23 23:57:13 UTC,,
148455,88826,5076,35,2016-01-24 03:21:56 UTC,2016-01-24 03:21:56 UTC,,
155394,92766,3208,4572,2016-01-26 03:10:53 UTC,2016-01-26 03:10:53 UTC,,
155441,92771,2318,38,2016-01-26 03:23:03 UTC,2016-01-26 03:23:03 UTC,,
155396,92770,3208,4574,2016-01-26 03:11:00 UTC,2016-01-26 03:11:00 UTC,,
156157,92791,5501,16,2016-01-26 14:43:38 UTC,2016-01-26 14:43:38 UTC,,
156158,92808,5501,19,2016-01-26 14:43:43 UTC,2016-01-26 14:43:43 UTC,,
156161,93044,5491,4,2016-01-26 14:46:31 UTC,2016-01-26 14:46:31 UTC,,
156621,93353,4755,191,2016-01-26 19:14:52 UTC,2016-01-26 19:14:52 UTC,,
156760,93377,4755,192,2016-01-26 20:00:07 UTC,2016-01-26 20:00:07 UTC,,
156823,93408,4755,195,2016-01-26 20:35:21 UTC,2016-01-26 20:35:21 UTC,,
160048,94888,5625,2,2016-01-27 14:43:08 UTC,2016-01-27 14:43:08 UTC,,
160049,94889,5625,3,2016-01-27 14:43:09 UTC,2016-01-27 14:43:09 UTC,,
160050,94892,5625,4,2016-01-27 14:43:11 UTC,2016-01-27 14:43:11 UTC,,
160051,94895,5625,7,2016-01-27 14:43:13 UTC,2016-01-27 14:43:13 UTC,,
160052,94896,5625,8,2016-01-27 14:43:14 UTC,2016-01-27 14:43:14 UTC,,
160053,94898,5625,10,2016-01-27 14:43:18 UTC,2016-01-27 14:43:18 UTC,,
160216,94971,3858,23,2016-01-27 17:18:00 UTC,2016-01-27 17:18:00 UTC,,
160217,94977,3858,24,2016-01-27 17:18:00 UTC,2016-01-27 17:18:00 UTC,,
163383,94587,5585,95,2016-01-28 15:00:54 UTC,2016-01-28 15:00:54 UTC,,
163685,96611,4864,40,2016-01-28 18:35:30 UTC,2016-01-28 18:35:30 UTC,,
180183,104430,4755,198,2016-02-02 18:31:41 UTC,2016-02-02 18:31:41 UTC,,
181685,105389,6002,31,2016-02-03 01:32:34 UTC,2016-02-03 01:32:34 UTC,,
182149,105799,6035,94,2016-02-03 02:55:21 UTC,2016-02-03 02:55:21 UTC,,
182294,105916,6035,106,2016-02-03 03:45:58 UTC,2016-02-03 03:45:58 UTC,,
182864,106215,6066,2,2016-02-03 18:19:13 UTC,2016-02-03 18:19:13 UTC,,
183100,106308,5405,58,2016-02-03 19:52:55 UTC,2016-02-03 19:52:55 UTC,,
183087,106294,5405,48,2016-02-03 19:46:27 UTC,2016-02-03 19:46:27 UTC,,
183151,106340,6071,10,2016-02-03 20:18:48 UTC,2016-02-03 20:18:48 UTC,,
183158,106346,6071,14,2016-02-03 20:22:26 UTC,2016-02-03 20:22:26 UTC,,
183259,106383,6071,29,2016-02-03 20:58:53 UTC,2016-02-03 20:58:53 UTC,,
183369,106437,6072,12,2016-02-03 21:48:47 UTC,2016-02-03 21:48:47 UTC,,
183370,106438,6072,13,2016-02-03 21:48:48 UTC,2016-02-03 21:48:48 UTC,,
183365,106435,6072,11,2016-02-03 21:45:31 UTC,2016-02-03 21:45:31 UTC,,
183366,106430,6072,8,2016-02-03 21:45:33 UTC,2016-02-03 21:45:33 UTC,,
183368,106442,6072,16,2016-02-03 21:48:45 UTC,2016-02-03 21:48:45 UTC,,
183373,106445,6072,17,2016-02-03 21:52:24 UTC,2016-02-03 21:52:24 UTC,2016-03-07 05:19:45 UTC,other
183437,106479,6072,22,2016-02-03 22:10:07 UTC,2016-02-03 22:10:07 UTC,,
183509,106526,6072,36,2016-02-03 22:49:06 UTC,2016-02-03 22:49:06 UTC,,
183561,106553,6072,42,2016-02-03 22:59:42 UTC,2016-02-03 22:59:42 UTC,,
183563,106543,6072,39,2016-02-03 22:59:45 UTC,2016-02-03 22:59:45 UTC,,
183564,106539,6072,38,2016-02-03 22:59:46 UTC,2016-02-03 22:59:46 UTC,,
183560,106559,6072,44,2016-02-03 22:59:41 UTC,2016-02-03 22:59:41 UTC,,
183585,106567,6072,46,2016-02-03 23:06:17 UTC,2016-02-03 23:06:17 UTC,,
183593,106573,6072,48,2016-02-03 23:09:25 UTC,2016-02-03 23:09:25 UTC,,
183610,106585,6072,50,2016-02-03 23:15:00 UTC,2016-02-03 23:15:00 UTC,,
183611,106578,6072,49,2016-02-03 23:15:01 UTC,2016-02-03 23:15:01 UTC,,
183883,106613,6072,54,2016-02-03 23:55:00 UTC,2016-02-03 23:55:00 UTC,,
183881,106641,6072,56,2016-02-03 23:54:57 UTC,2016-02-03 23:54:57 UTC,2016-02-03 23:59:34 UTC,other
183880,106651,6072,57,2016-02-03 23:54:56 UTC,2016-02-03 23:54:56 UTC,,
