visited_at,posts_read,mobile,time_read
2018-01-11,289,false,6983
2018-01-12,316,false,4631
2018-01-13,416,false,6933
2018-01-14,873,false,20546
2018-01-15,1419,false,21027
2018-01-16,1560,false,24490
2018-01-17,3509,true,32204
2018-01-18,1166,false,27044
2018-01-19,1332,false,21858
2018-01-22,996,false,17992
2018-01-23,836,false,19682
2018-01-24,409,false,13753
2018-01-25,425,false,15648
2018-01-26,524,false,14480
2018-01-27,456,false,5244
2018-01-28,264,false,6729
2018-01-29,859,false,23994
2018-01-30,670,false,25109
2018-01-31,596,false,26629
2018-02-01,659,false,15658
2018-02-02,796,false,18976
2018-02-03,629,false,12835
2018-02-04,469,false,10060
2018-02-05,605,false,10447
2018-02-06,330,false,8623
2018-02-07,824,false,27186
2018-02-08,56,false,2192
2018-02-09,583,false,10748
2018-02-10,281,false,4054
2018-02-11,297,false,4377
2018-02-12,438,false,15084
2018-02-13,705,false,8970
2018-02-14,319,false,8351
2018-02-15,451,false,9031
2018-02-16,450,false,6477
2018-02-17,939,false,11366
2018-02-18,1152,false,15339
2018-02-19,1072,false,20928
2018-02-20,1220,false,22719
2018-02-21,1314,false,24961
2018-02-22,416,false,6640
2018-02-23,998,false,10867
2018-02-24,715,false,7635
2018-02-25,1176,false,13966
2018-02-26,983,false,9981
2018-02-27,471,false,7110
2018-02-28,714,false,11994
2018-03-01,597,false,8012
2018-03-02,1321,false,21511
2018-03-03,681,false,15197
2018-03-04,394,false,5845
2018-03-05,663,false,8707
2018-03-06,845,false,15297
2018-03-07,1558,false,22358
2018-03-08,1842,false,30512
2018-03-09,683,false,9286
2018-03-10,1308,false,17310
2018-03-11,289,false,4590
2018-03-12,0,false,0
2018-03-13,6,false,11
2018-03-14,284,false,2525
2018-03-15,171,false,1884
2018-03-20,115,false,862
2018-03-21,74,false,703
2018-05-04,23,false,292
2018-05-07,12,true,9
2018-05-15,62,true,422
2018-05-16,366,true,2991
2018-05-18,207,true,3250
2018-05-19,0,false,0
2018-05-20,21,true,83
2018-05-23,137,true,1335
2018-05-25,0,false,0
2018-06-03,18,true,39
2018-06-04,54,true,300
2018-06-08,256,true,3331
2018-06-12,120,true,879
2018-06-13,378,true,4743
2018-07-27,8,false,44
2018-07-30,29,false,126
2018-08-22,603,true,6462
2018-08-27,516,true,1920
2018-08-30,1158,true,11320
2018-10-09,619,true,4764
2018-10-10,1056,true,16203
2018-10-12,1319,true,15998
2018-10-13,242,true,2759
2018-10-14,320,true,5734
2018-10-15,172,true,2136
2018-10-16,324,true,6147
2018-10-17,141,true,963
2018-10-18,521,true,7953
2018-10-19,565,true,6832
2018-10-20,128,true,1120
2018-10-21,865,true,8908
2018-10-22,844,true,3230
2018-10-23,709,true,5840
2018-10-24,743,true,5286
2018-10-25,397,true,2903
2018-10-26,373,true,4117
2018-10-27,233,true,3420
2018-10-28,286,true,13385
2018-10-29,189,true,2017
2018-10-30,533,true,7700
2018-11-01,812,true,7649
2018-11-02,456,true,7614
2018-11-03,939,true,14648
2018-11-04,961,true,12705
2018-11-05,689,true,6296
2018-11-06,577,true,4472
2018-11-07,562,true,3283
2018-11-08,434,true,6735
2018-11-10,358,true,6232
2018-11-11,723,true,14364
2018-11-12,566,true,7495
2018-11-13,620,true,7860
2018-11-14,300,true,6083
2018-11-15,421,true,6463
2018-11-16,268,true,8832
2018-11-17,812,true,9099
2018-11-18,351,true,7692
2018-11-19,418,true,6233
2018-11-21,0,false,72
2018-11-23,9,false,33
2018-12-13,86,false,835
2018-12-14,236,false,2700
2018-12-15,321,false,2771
2018-12-16,28,false,59
2018-12-17,33,false,266
2018-12-18,455,false,4600
2018-12-19,66,false,743
2019-01-06,20,true,515
